n,density,greedy,whca,learned,ratio,blocked_learned
8,0.00851063829787234,0.4270833333333333,2.9479166666666665,0.9583333333333334,0.3250883392226149,40.333333333333336
16,0.01702127659574468,0.28125,3.2083333333333335,0.375,0.11688311688311688,252.0
32,0.03404255319148936,0.3020833333333333,2.875,0.3098958333333333,0.10778985507246376,365.6666666666667
48,0.05106382978723404,0.2760416666666667,3.0833333333333335,0.11979166666666667,0.03885135135135135,1648.0
64,0.06808510638297872,0.2630208333333333,3.0026041666666665,0.16666666666666666,0.055507372072853424,1161.3333333333333
96,0.10212765957446808,0.2664930555555556,2.8506944444444446,0.1154513888888889,0.040499390986601706,4518.333333333333
128,0.13617021276595745,0.22395833333333334,2.5716145833333335,0.07291666666666667,0.028354430379746835,6413.0
